id_,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type
457,100.0,100.0,103123,0,0,-7,7,1,4,0.0,0.0,0,Sébastien,0.0,False,,2019-08-15T15:30:11.044189Z,68,103123.jpg,3.6,Haller,2.3,False,,a,19,21,97,674969,16,802358,28,0.0,14.3,Haller,2144,7,3,5,40,0,0,0,1,0,0,11,318,433.4,335.5,958.0,172.0,107,16,80,9,17,13,32,15
494,100.0,100.0,225321,0,0,0,0,3,1,0.0,0.0,0,Aaron,0.0,False,,2020-01-12T14:00:23.328650Z,45,225321.jpg,3.4,Ramsdale,3.5,False,,a,3,91,96,664073,107,447414,74,0.0,21.3,Ramsdale,2520,0,1,4,44,0,0,0,0,0,102,10,520,759.0,10.0,0.0,76.9,10,5,402,6,555,53,154,5
293,,,146610,0,0,2,-2,1,2,0.0,0.0,0,Jack,0.0,False,,,47,146610.jpg,3.4,O'Connell,3.5,False,,a,15,49,96,433711,144,217747,78,0.0,20.4,O'Connell,2520,0,1,10,25,0,0,0,3,0,0,6,483,507.2,228.0,236.0,97.2,68,23,141,31,132,20,108,21
133,100.0,100.0,82403,0,0,-3,3,1,3,0.0,0.0,0,Wilfried,0.0,False,,2020-01-06T01:00:17.820409Z,67,82403.jpg,3.3,Zaha,9.5,False,,a,7,31,95,1141966,43,1730239,83,0.0,14.2,Zaha,2545,3,5,8,32,0,0,0,4,0,0,4,267,468.0,456.5,830.0,175.7,87,31,40,32,24,8,27,14
67,100.0,100.0,75115,0,0,-6,6,1,4,0.0,0.0,0,Callum,0.0,False,,2019-12-07T17:00:19.209039Z,74,75115.jpg,3.4,Wilson,4.8,False,,a,3,91,95,886151,29,1729385,51,0.0,12.8,Callum Wilson,2346,8,3,3,46,0,0,0,8,0,0,8,292,376.8,343.3,683.0,139.6,148,20,77,8,32,19,54,19
448,,,166989,0,0,-4,4,2,3,0.0,0.0,0,Youri,0.0,False,,,61,166989.jpg,3.4,Tielemans,4.2,False,,a,9,13,95,922531,12,1027410,20,0.0,15.6,Tielemans,2148,3,5,9,24,0,0,0,1,0,0,5,393,431.6,560.7,386.0,138.0,109,38,26,22,73,38,55,31
295,100.0,100.0,108416,0,0,1,-1,0,2,0.0,0.0,0,John,0.0,False,,2019-11-18T23:00:14.538560Z,46,108416.jpg,3.5,Egan,2.4,False,,a,15,49,94,247646,245,90766,73,0.0,20.4,Egan,2418,0,1,10,22,0,0,0,2,0,0,4,445,446.6,12.6,372.0,83.2,101,34,391,146,75,4,143,36
301,100.0,100.0,47247,0,0,0,0,4,3,0.0,0.0,0,John,0.0,False,,2019-12-14T17:00:24.844524Z,50,47247.jpg,3.8,Fleck,5.5,False,,a,15,49,94,806496,209,428110,282,0.0,18.8,Fleck,2188,5,2,8,21,0,0,0,7,0,0,13,425,492.0,578.8,415.0,148.8,75,25,24,20,66,35,47,25
161,100.0,100.0,172850,0,0,0,0,1,2,0.0,0.0,0,Benjamin,0.0,False,,2020-03-06T15:00:21.670859Z,55,172850.jpg,4.1,Chilwell,8.4,False,,a,9,13,94,1236845,90,1053520,90,0.0,17.1,Chilwell,2059,2,3,8,23,0,0,0,2,0,0,3,428,455.2,443.9,167.0,106.7,96,31,42,7,186,40,91,14
415,,,19624,0,0,-1,1,0,3,0.0,0.0,0,João Filipe Iria,0.0,False,,,54,19624.jpg,3.2,Santos Moutinho,5.2,False,,a,20,39,94,608502,54,703064,58,0.0,17.4,Moutinho,2434,1,7,7,32,0,0,0,5,0,0,11,508,614.6,982.3,110.0,171.1,33,7,5,4,242,125,34,18
321,100.0,100.0,101178,0,0,-3,3,0,3,0.0,0.0,0,James,0.0,False,,2020-02-05T22:00:18.700245Z,57,101178.jpg,3.2,Ward-Prowse,1.7,False,,a,16,20,93,314812,27,271522,53,0.0,16.3,Ward-Prowse,2610,4,4,6,52,0,0,1,7,0,0,6,454,634.6,723.2,355.0,171.6,29,6,10,8,80,41,33,17
368,100.0,100.0,121599,0,0,-4,4,1,3,0.0,0.0,0,Abdoulaye,0.0,False,,2019-12-22T16:30:23.335692Z,56,121599.jpg,3.3,Doucouré,2.9,False,,a,18,57,93,307552,90,316727,155,0.0,16.6,Doucouré,2443,4,3,9,42,1,0,0,8,0,0,9,387,461.0,479.9,557.0,149.6,91,34,38,31,49,25,46,24
280,100.0,100.0,20480,0,0,1,-1,2,1,0.0,0.0,0,Tim,0.0,False,,2019-10-27T20:00:16.930339Z,46,20480.jpg,3.4,Krul,2.6,False,,a,14,45,91,252541,46,177791,32,0.0,19.8,Krul,2430,0,0,5,45,1,2,0,4,0,95,10,510,776.0,0.0,0.0,77.6,9,4,581,57,569,54,149,3
101,100.0,100.0,60551,0,0,0,0,1,3,0.0,0.0,0,Ashley,0.0,False,,2019-12-19T15:00:19.383162Z,55,60551.jpg,3.5,Westwood,0.9,False,,a,5,90,91,99656,16,94935,31,0.0,16.5,Westwood,2340,2,6,11,29,0,0,0,9,0,0,9,415,456.0,589.1,121.0,116.6,95,36,21,17,229,118,71,42
219,100.0,100.0,20664,0,0,-2,2,3,3,0.0,0.0,0,David,0.0,False,,2020-02-19T22:00:17.062940Z,73,20664.jpg,4.7,Silva,4.1,False,,a,11,43,90,1353886,28,1455940,31,0.0,12.3,David Silva,1252,3,9,7,12,0,0,0,0,0,0,8,355,385.4,512.3,623.0,152.0,140,51,34,28,40,18,42,23
423,,,40386,0,0,1,-1,0,2,0.0,0.0,0,Chris,0.0,False,,,46,40386.jpg,3.2,Basham,1.5,False,,a,15,49,90,151452,63,63090,43,0.0,19.6,Basham,2432,0,0,10,25,0,0,0,4,0,0,4,457,499.4,143.5,91.0,73.7,73,24,209,55,263,76,162,42
42,100.0,100.0,83299,0,0,2,-2,3,2,0.0,0.0,0,Lewis,0.0,False,,2019-12-26T12:30:21.551588Z,47,83299.jpg,3.3,Dunk,12.3,False,,a,4,36,90,1415681,91,1102557,208,0.0,19.1,Dunk,2430,2,3,6,36,0,0,0,9,0,0,11,510,612.8,147.9,372.0,113.3,37,11,206,52,76,5,78,11
243,100.0,100.0,200617,0,0,-2,2,0,3,0.0,0.0,0,Daniel,0.0,False,,2020-03-04T10:30:26.710993Z,58,200617.jpg,3.3,James,5.7,False,,a,12,1,89,1816827,37,1706004,43,0.0,15.3,James,2166,3,6,7,27,0,0,0,3,0,0,2,293,401.4,401.9,572.0,137.4,129,46,58,45,48,24,56,32
189,100.0,100.0,116535,0,0,2,-2,1,1,0.0,0.0,0,Alisson,0.0,False,,2020-03-06T14:00:17.901193Z,62,116535.jpg,4.5,Ramses Becker,9.3,False,,a,10,14,89,733359,73,1986597,50,0.0,14.4,Alisson,1733,0,1,10,12,0,0,0,0,1,45,6,408,377.0,10.0,0.0,38.8,147,19,404,8,623,71,298,18
160,100.0,100.0,95658,0,0,-2,2,1,2,0.0,0.0,0,Harry,0.0,False,,2020-03-05T21:30:18.986938Z,53,95658.jpg,3.1,Maguire,10.8,False,,a,12,1,89,627848,374,1126179,67,0.0,16.8,Maguire,2610,1,0,8,30,0,0,0,4,0,0,5,499,613.2,167.6,335.0,112.0,35,10,188,45,90,10,83,12
363,0.0,0.0,94924,0,0,-4,4,2,4,0.0,0.0,0,Gerard,0.0,False,Knee injury - Unknown return date,2020-02-29T20:00:17.592234Z,61,94924.jpg,3.1,Deulofeu,2.0,False,,i,18,57,88,406122,3,658628,15,0.0,14.4,Deulofeu,2097,4,5,8,33,0,0,0,3,0,0,9,330,458.4,602.3,896.0,195.4,92,14,20,1,20,15,21,9
410,100.0,100.0,194634,0,0,-1,1,3,4,0.0,0.0,0,Diogo,0.0,False,,2020-01-03T16:00:15.223392Z,64,194634.jpg,3.5,Jota,9.5,False,,a,20,39,88,791482,282,925445,461,0.0,13.8,Jota,1758,6,3,7,24,0,0,0,3,0,0,12,290,390.2,359.5,975.0,172.6,138,18,70,6,14,11,30,14
488,100.0,100.0,195735,0,0,-2,2,2,3,0.0,0.0,0,Nicolas,0.0,False,,2019-12-11T12:30:12.556688Z,93,195735.jpg,3.7,Pépé,5.0,False,,a,1,3,88,560705,44,577009,217,0.0,9.5,Pépé,1587,4,6,4,25,0,0,0,3,0,0,8,307,441.4,535.3,556.0,153.5,103,37,29,24,50,26,39,20
105,100.0,100.0,41328,0,0,-1,1,2,2,0.0,0.0,0,César,0.0,False,,2019-12-22T19:30:15.441735Z,59,41328.jpg,3.3,Azpilicueta,6.0,False,,a,6,8,88,375296,67,529645,37,0.0,14.9,Azpilicueta,2419,2,3,5,38,0,0,0,0,0,0,7,494,666.6,484.3,364.0,151.7,23,5,37,4,78,6,44,4
83,,,51927,0,0,0,0,0,2,0.0,0.0,0,Ben,0.0,False,,,50,51927.jpg,3.0,Mee,1.2,False,,a,5,90,87,108076,13,89748,18,0.0,17.4,Mee,2610,0,2,11,40,0,0,0,7,0,0,1,476,577.0,95.0,343.0,101.7,45,14,251,71,86,9,96,15
393,100.0,100.0,18987,0,0,-3,3,1,3,0.0,0.0,0,Robert,0.0,False,,2020-01-23T20:00:20.325478Z,52,18987.jpg,3.6,Snodgrass,1.7,False,,a,19,21,87,242782,28,139209,131,0.0,16.7,Snodgrass,1504,5,5,3,33,0,0,0,4,0,0,8,312,422.2,552.1,320.0,129.7,118,41,28,23,95,51,62,36
123,100.0,100.0,74230,0,0,1,-1,2,2,0.0,0.0,0,Patrick,0.0,False,,2019-12-26T17:00:15.621945Z,56,74230.jpg,4.0,van Aanholt,5.5,False,,a,7,31,87,890845,68,1012601,62,0.0,15.5,van Aanholt,1892,3,0,7,24,1,0,0,0,0,0,8,404,397.6,387.0,202.0,98.7,131,50,62,11,160,31,103,19
218,100.0,100.0,165809,0,0,-3,3,2,3,0.0,0.0,0,Bernardo Mota,0.0,False,,2019-11-13T14:30:18.982377Z,77,165809.jpg,3.6,Veiga de Carvalho e Silva,8.7,False,,a,11,43,86,952468,24,2036453,53,0.0,11.2,Bernardo Silva,1492,5,5,6,22,0,0,0,5,0,0,5,394,479.4,517.5,749.0,174.4,82,29,33,27,26,10,28,15
199,100.0,100.0,41733,0,0,-1,1,1,3,0.0,0.0,0,Georginio,0.0,False,,2019-12-14T14:30:24.028899Z,54,41733.jpg,3.0,Wijnaldum,2.3,False,,a,10,14,85,310413,22,346698,26,0.0,15.7,Wijnaldum,2321,3,0,11,18,0,0,0,0,0,0,5,388,348.4,239.8,299.0,88.8,164,63,132,82,105,58,128,71
254,,,57145,0,0,1,-1,4,2,0.0,0.0,0,Federico,0.0,False,,,46,57145.jpg,3.7,Fernández,3.0,False,,a,13,4,85,285397,150,84284,99,0.0,18.5,Fernández,1807,2,2,6,25,0,0,0,4,0,0,13,375,549.6,63.2,173.0,78.5,52,18,288,90,179,37,148,38
336,100.0,100.0,80226,0,0,-1,1,1,2,0.0,0.0,0,Serge,0.0,False,,2019-09-28T16:00:17.498533Z,49,80226.jpg,3.5,Aurier,5.7,False,,a,17,6,85,1125079,167,781851,171,0.0,17.3,Aurier,1909,1,6,5,27,1,0,0,1,1,0,11,460,532.8,419.8,207.0,116.0,58,20,53,9,153,27,75,10
122,100.0,100.0,214590,0,0,-2,2,1,2,0.0,0.0,0,Aaron,0.0,False,,2020-03-04T10:30:26.229276Z,53,214590.jpg,3.3,Wan-Bissaka,14.4,False,,a,12,1,85,915637,450,2155017,90,0.0,16.0,Wan-Bissaka,2330,0,2,7,28,0,0,0,5,0,0,12,477,579.4,338.1,90.0,100.9,44,13,79,14,265,77,97,16
396,100.0,100.0,18073,0,0,0,0,2,3,0.0,0.0,0,Mark,0.0,False,,2020-01-03T17:30:19.655009Z,50,18073.jpg,3.2,Noble,1.3,False,,a,19,21,84,260735,17,203749,78,0.0,16.8,Noble,2139,4,2,6,37,0,0,0,4,0,0,6,389,406.8,292.3,150.0,85.1,127,45,97,62,204,107,134,73
505,100.0,100.0,153682,0,0,-2,2,2,3,0.0,0.0,0,Harry,0.0,False,,2020-03-01T19:00:16.835481Z,58,153682.jpg,3.7,Wilson,1.8,False,,a,3,91,84,632933,14,612231,16,0.0,14.5,Harry Wilson,1432,7,1,2,28,0,0,0,1,0,0,7,280,360.2,228.4,543.0,113.1,157,58,140,87,53,29,79,47
148,,,111234,0,0,-3,3,1,1,0.0,0.0,0,Jordan,0.0,False,,,52,111234.jpg,2.9,Pickford,6.4,False,,a,8,11,84,481604,12,721581,24,0.0,16.2,Pickford,2610,0,0,6,46,0,0,0,1,0,75,3,473,593.6,3.0,0.0,59.4,41,11,426,9,610,65,209,11
141,100.0,100.0,101188,0,0,-3,3,3,2,0.0,0.0,0,Lucas,0.0,False,,2020-02-23T19:00:12.788850Z,57,101188.jpg,3.2,Digne,11.0,False,,a,8,11,83,1247255,92,2136841,58,0.0,14.6,Digne,2241,0,5,6,40,1,0,0,2,0,0,12,474,532.2,887.8,229.0,165.0,59,21,7,2,139,23,35,2
403,,,94147,0,0,1,-1,0,2,0.0,0.0,0,Conor,0.0,False,,,51,94147.jpg,2.9,Coady,2.0,False,,a,20,39,83,158566,27,134116,24,0.0,16.3,Coady,2610,0,0,8,34,0,0,0,3,0,0,6,485,429.8,67.2,0.0,49.6,112,42,280,85,604,208,247,76
212,100.0,100.0,121160,0,0,0,0,0,1,0.0,0.0,0,Ederson,0.0,False,,2020-01-01T17:30:18.272745Z,60,121160.jpg,3.3,Santana de Moraes,11.7,False,,a,11,43,82,939934,94,1465604,77,0.0,13.7,Ederson,2171,0,0,9,27,0,0,0,3,1,50,2,406,429.6,3.0,0.0,43.0,113,17,427,10,621,70,281,17
118,0.0,0.0,85955,0,0,-1,1,1,3,0.0,0.0,0,Jorge Luiz,0.0,False,Suspended - unknown return date,2020-02-29T17:00:18.261637Z,49,85955.jpg,3.1,Frello Filho,3.4,False,,s,6,8,81,645000,15,704187,92,0.0,16.5,Jorginho,2009,4,3,4,32,0,0,0,10,0,0,9,470,541.0,390.3,156.0,109.1,55,17,61,48,190,101,85,52
283,100.0,100.0,195546,0,0,0,0,1,3,0.0,0.0,0,Emiliano,0.0,False,,2020-03-04T23:30:19.132977Z,60,195546.jpg,2.9,Buendía,0.7,False,,a,14,45,80,213649,5,218070,1,0.0,13.3,Buendía,2013,0,7,3,41,0,0,0,4,0,0,10,391,598.2,1049.0,325.0,197.5,40,12,4,3,93,49,20,11
225,100.0,100.0,184667,0,0,-2,2,1,2,0.0,0.0,0,Victor,0.0,False,,2020-02-17T22:00:17.332382Z,53,184667.jpg,3.0,Lindelöf,1.2,False,,a,12,1,79,93635,11,122540,3,0.0,14.9,Lindelöf,2340,1,0,7,27,1,0,0,5,0,0,7,434,431.0,62.1,73.0,56.6,111,41,291,92,289,91,217,64
106,100.0,100.0,41270,0,0,-3,3,2,2,0.0,0.0,0,David,0.0,False,,2019-11-28T23:00:21.861570Z,57,41270.jpg,3.2,Luiz Moreira Marinho,5.3,False,,a,1,3,79,246693,45,529012,37,0.0,13.9,David Luiz,2185,2,1,6,32,0,0,0,4,1,0,10,413,568.6,104.5,171.0,84.6,48,16,241,67,182,38,137,34
266,100.0,100.0,179018,0,0,-2,2,1,3,0.0,0.0,0,Miguel,0.0,False,,2020-01-05T01:00:12.220809Z,58,179018.jpg,2.8,Almirón,0.7,False,,a,13,4,79,95909,10,101424,24,0.0,13.6,Almirón,2370,2,1,10,37,0,0,0,5,0,0,5,236,324.6,288.6,550.0,116.1,178,71,101,65,51,27,73,43
30,100.0,100.0,193488,0,0,0,0,0,3,0.0,0.0,0,Anwar,0.0,False,,2020-02-22T17:30:19.276253Z,55,193488.jpg,3.2,El Ghazi,0.8,False,,a,2,7,79,255517,3,242409,1,0.0,14.4,El Ghazi,1673,4,5,4,40,0,0,0,3,0,0,0,240,350.8,421.6,586.0,135.9,162,62,52,41,47,23,57,33
12,100.0,100.0,59966,0,0,-1,1,1,4,0.0,0.0,0,Alexandre,0.0,False,,2019-09-01T18:30:14.246208Z,94,59966.jpg,3.9,Lacazette,2.1,False,,a,1,3,78,342929,14,454535,26,0.0,8.3,Lacazette,1311,7,4,3,18,0,0,0,5,0,0,9,277,384.8,287.0,666.0,134.0,141,19,103,14,33,20,59,20
525,100.0,100.0,232185,0,0,-1,1,2,3,0.0,0.0,0,Ismaïla,0.0,False,,2020-01-18T14:30:17.497310Z,64,232185.jpg,4.1,Sarr,3.0,False,,a,18,57,78,353342,125,167415,322,0.0,12.2,Sarr,1221,5,4,6,16,0,0,0,1,0,0,5,211,307.4,256.3,492.0,105.6,190,75,122,76,57,32,92,55
103,100.0,100.0,82263,0,0,-3,3,3,2,0.0,0.0,0,Marcos,0.0,False,,2019-12-28T01:00:24.217758Z,62,82263.jpg,7.0,Alonso,4.2,False,,a,6,8,77,432370,140,486711,133,0.0,12.4,Alonso,858,4,3,5,7,0,0,0,3,0,0,8,264,306.4,230.1,230.0,76.5,191,73,138,30,136,22,156,40
302,,,79934,0,0,-1,1,1,3,0.0,0.0,0,Oliver,0.0,False,,,49,79934.jpg,2.8,Norwood,0.5,False,,a,15,49,77,62587,15,56239,9,0.0,15.7,Norwood,2373,1,2,10,25,0,0,0,6,0,0,6,446,500.6,655.9,100.0,125.7,71,22,16,13,252,130,63,37
345,,,95715,0,0,-4,4,0,3,0.0,0.0,0,Lucas,0.0,False,,,71,95715.jpg,2.8,Rodrigues Moura da Silva,4.8,False,,a,17,6,76,792429,31,1197807,126,0.0,10.7,Lucas Moura,1675,4,3,3,23,0,0,0,2,0,0,1,243,379.6,359.2,615.0,135.2,146,53,71,53,43,21,58,34
184,100.0,100.0,171287,0,0,-2,2,0,2,0.0,0.0,0,Joseph,0.0,False,,2020-02-29T20:00:17.305841Z,53,171287.jpg,4.0,Gomez,5.1,False,,a,10,14,76,541576,91,311488,227,0.0,14.3,Gomez,1277,0,0,10,5,0,0,0,3,0,0,7,332,270.0,80.5,8.0,35.9,212,82,263,76,399,147,313,113
358,100.0,100.0,41338,0,0,-2,2,1,2,0.0,0.0,0,Craig,0.0,False,,2019-12-28T19:30:17.240152Z,43,41338.jpg,2.8,Cathcart,3.3,False,,a,18,57,76,284143,142,311247,116,0.0,17.7,Cathcart,2353,0,0,9,33,0,0,0,6,0,0,3,423,442.8,34.1,40.0,51.8,102,35,337,114,335,117,236,71
